SYMBOL,SECTOR
NIFTY,INDICES
BANKNIFTY,INDICES
DELHIVERY,TRANSPORTATION
CONCOR,TRANSPORTATION
ADANIPORTS,TRANSPORTATION
INDIGO,TRANSPORTATION
IRCTC,TRANSPORTATION
MFSL,MISCELLANEOUS
GMRAIRPORT,MISCELLANEOUS
NBCC,MISCELLANEOUS
BEL,AEROSPACE & DEFENCE
SOLARINDS,AEROSPACE & DEFENCE
BDL,AEROSPACE & DEFENCE
HAL,AEROSPACE & DEFENCE
MAZDOCK,AEROSPACE & DEFENCE
INDHOTEL,SERVICES
ADANIENT,SERVICES
PREMIERENE,SERVICES
SAIL,METALS & MINING
HINDZINC,METALS & MINING
JSWSTEEL,METALS & MINING
VEDL,METALS & MINING
HINDALCO,METALS & MINING
TATASTEEL,METALS & MINING
NMDC,METALS & MINING
NATIONALUM,METALS & MINING
JINDALSTEL,METALS & MINING
COALINDIA,METALS & MINING
BLUESTARCO,CONSUMER DISCRETIONARY
TITAN,CONSUMER DISCRETIONARY
TRENT,CONSUMER DISCRETIONARY
VOLTAS,CONSUMER DISCRETIONARY
HAVELLS,CONSUMER DISCRETIONARY
KAYNES,CONSUMER DISCRETIONARY
PAGEIND,CONSUMER DISCRETIONARY
JUBLFOOD,CONSUMER DISCRETIONARY
PGEL,CONSUMER DISCRETIONARY
CROMPTON,CONSUMER DISCRETIONARY
DMART,CONSUMER DISCRETIONARY
DIXON,CONSUMER DISCRETIONARY
AMBER,CONSUMER DISCRETIONARY
KALYANKJIL,CONSUMER DISCRETIONARY
CIPLA,HEALTHCARE
DRREDDY,HEALTHCARE
LUPIN,HEALTHCARE
TORNTPHARM,HEALTHCARE
APOLLOHOSP,HEALTHCARE
PPLPHARMA,HEALTHCARE
MANKIND,HEALTHCARE
SUNPHARMA,HEALTHCARE
AUROPHARMA,HEALTHCARE
GLENMARK,HEALTHCARE
ZYDUSLIFE,HEALTHCARE
DIVISLAB,HEALTHCARE
BIOCON,HEALTHCARE
FORTIS,HEALTHCARE
SYNGENE,HEALTHCARE
ALKEM,HEALTHCARE
LAURUSLABS,HEALTHCARE
MAXHEALTH,HEALTHCARE
PIDILITIND,CHEMICALS
SRF,CHEMICALS
UPL,CHEMICALS
PIIND,CHEMICALS
TATAPOWER,POWER & UTILITIES
NTPC,POWER & UTILITIES
TORNTPOWER,POWER & UTILITIES
POWERGRID,POWER & UTILITIES
NHPC,POWER & UTILITIES
JSWENERGY,POWER & UTILITIES
ADANIENSOL,POWER & UTILITIES
ADANIGREEN,POWER & UTILITIES
DABUR,FMCG
PATANJALI,FMCG
HINDUNILVR,FMCG
NESTLEIND,FMCG
TATACONSUM,FMCG
BRITANNIA,FMCG
COLPAL,FMCG
ITC,FMCG
MARICO,FMCG
GODREJCP,FMCG
UNITDSPR,FMCG
VBL,FMCG
SBIN,BANK
HDFCBANK,BANK
KOTAKBANK,BANK
FEDERALBNK,BANK
BANKBARODA,BANK
BANKINDIA,BANK
ICICIBANK,BANK
INDUSINDBK,BANK
AXISBANK,BANK
PNB,BANK
UNIONBANK,BANK
CANBK,BANK
YESBANK,BANK
INDIANB,BANK
IDFCFIRSTB,BANK
RBLBANK,BANK
AUBANK,BANK
BANDHANBNK,BANK
EXIDEIND,AUTO
HEROMOTOCO,AUTO
ASHOKLEY,AUTO
M&M,AUTO
BOSCHLTD,AUTO
TMPV,AUTO
EICHERMOT,AUTO
MOTHERSON,AUTO
TVSMOTOR,AUTO
MARUTI,AUTO
UNOMINDA,AUTO
BAJAJ-AUTO,AUTO
SONACOMS,AUTO
INFY,I.T
TATAELXSI,I.T
WIPRO,I.T
MPHASIS,I.T
TATATECH,I.T
SWIGGY,I.T
HCLTECH,I.T
OFSS,I.T
TCS,I.T
COFORGE,I.T
TECHM,I.T
NAUKRI,I.T
PERSISTENT,I.T
LTIM,I.T
KPITTECH,I.T
ETERNAL,I.T
NYKAA,I.T
POLICYBZR,I.T
PAYTM,I.T
ABB,INDUSTRIALS
CGPOWER,INDUSTRIALS
BHEL,INDUSTRIALS
CUMMINSIND,INDUSTRIALS
BHARATFORG,INDUSTRIALS
SIEMENS,INDUSTRIALS
KEI,INDUSTRIALS
WAAREEENER,INDUSTRIALS
SUZLON,INDUSTRIALS
APLAPOLLO,INDUSTRIALS
INOXWIND,INDUSTRIALS
TIINDIA,INDUSTRIALS
POLYCAB,INDUSTRIALS
POWERINDIA,INDUSTRIALS
BHARTIARTL,TELECOM-SERVICE
IDEA,TELECOM-SERVICE
LT,REALTY
PHOENIXLTD,REALTY
DLF,REALTY
GODREJPROP,REALTY
OBEROIRLTY,REALTY
PRESTIGE,REALTY
RVNL,REALTY
LODHA,REALTY
GRASIM,TEXTILES
HINDPETRO,ENERGY
ONGC,ENERGY
RELIANCE,ENERGY
BPCL,ENERGY
IOC,ENERGY
GAIL,ENERGY
PETRONET,ENERGY
OIL,ENERGY
INDUSTOWER,TELECOM
SUPREMEIND,PLASTIC PRODUCTS
ASTRAL,PLASTIC PRODUCTS
BAJFINANCE,FINANCIALS
LICHSGFIN,FINANCIALS
BAJAJHLDNG,FINANCIALS
SHRIRAMFIN,FINANCIALS
CHOLAFIN,FINANCIALS
LICI,FINANCIALS
KFINTECH,FINANCIALS
JIOFIN,FINANCIALS
NUVAMA,FINANCIALS
IREDA,FINANCIALS
MANAPPURAM,FINANCIALS
IIFL,FINANCIALS
PFC,FINANCIALS
RECLTD,FINANCIALS
BAJAJFINSV,FINANCIALS
MUTHOOTFIN,FINANCIALS
LTF,FINANCIALS
MCX,FINANCIALS
SAMMAANCAP,FINANCIALS
ICICIPRULI,FINANCIALS
PNBHOUSING,FINANCIALS
BSE,FINANCIALS
HUDCO,FINANCIALS
CDSL,FINANCIALS
ABCAPITAL,FINANCIALS
SBILIFE,FINANCIALS
ICICIGI,FINANCIALS
IEX,FINANCIALS
HDFCLIFE,FINANCIALS
HDFCAMC,FINANCIALS
360ONE,FINANCIALS
SBICARD,FINANCIALS
CAMS,FINANCIALS
ANGELONE,FINANCIALS
IRFC,FINANCIALS
SHREECEM,BUILDING MATERIALS
AMBUJACEM,BUILDING MATERIALS
ASIANPAINT,BUILDING MATERIALS
ULTRACEMCO,BUILDING MATERIALS
DALBHARAT,BUILDING MATERIALS
